-18,2,12,-90,-11,3,-6,-30,,
-10,-15,-69,-7,-11,-11,-6,15,,
-2,1,84,41,18,2,0,59,,
55,9,-83,-82,-14,4,-8,-13,,
43,-17,9,88,9,-7,-3,4,,
8,20,-2,-32,-3,5,3,25,,
-25,3,38,-50,-20,-8,-7,-3,,
-1,-24,-65,-73,-23,-11,-8,-24,,
-11,9,-44,2,9,14,10,22,,
10,4,99,83,14,0,-11,-20,,
28,5,-18,16,-13,-6,-3,-28,,
-32,9,39,36,13,1,8,9,,
-40,10,36,47,15,5,-1,-19,,
-55,-16,-78,-10,-6,4,-2,-53,,
-8,-6,72,127,-1,-17,-9,-5,,
51,-7,-35,-39,-10,-1,6,69,,
1,21,102,58,2,11,2,14,,
-4,8,-37,42,21,10,8,-15,,
62,2,-27,12,7,-6,-17,-84,,
32,-14,-42,-55,-9,2,18,88,,
39,-6,-37,-17,6,-5,-4,-15,,
28,-15,-65,-62,-33,-9,-7,18,,
4,8,24,58,20,9,4,-3,,
-27,22,41,-86,0,3,-2,-32,,
12,1,32,24,1,1,2,6,,
-30,-10,44,-1,-10,-9,0,4,,
2,-17,-57,-41,-18,-5,0,17,,
22,9,-36,-21,4,8,7,-48,,
19,21,59,-38,0,1,11,69,,
-23,-36,-79,-1,-7,-10,-21,-36,,
16,15,10,-49,4,3,11,29,,
17,8,77,84,7,-12,-6,-15,,
-5,-6,23,0,-9,8,-7,-24,,
-48,20,20,14,16,1,-1,-19,,
4,-13,28,-2,2,4,8,-16,,
-8,0,-14,52,1,-2,-10,-15,,
-11,-14,-8,-55,-24,-10,5,32,,
18,-3,20,37,11,-1,-2,0,,
-78,-29,-63,51,9,2,0,-9,,
-5,3,15,-41,-13,-7,-3,-16,,
-27,-12,-31,55,12,-7,-7,-44,,
-14,-15,20,19,-17,-1,-1,31,,
59,46,27,39,7,3,7,51,,
-5,-28,28,23,-8,1,-8,-38,,
-1,-33,-113,67,14,-2,7,27,,
22,48,74,-74,-23,-1,3,3,,
-25,-21,-46,43,14,-1,-13,-19,,
-18,6,36,-20,9,8,5,-4,,
7,-11,-103,-92,-8,0,9,-1,,
-36,-16,26,-21,-26,-12,-11,-37,,
20,3,14,49,5,11,5,33,,
21,1,-41,-8,-6,-9,-9,-7,,
12,7,106,7,-4,-6,-12,4,,
26,-16,-106,-10,3,-2,1,15,,
-42,-3,50,-16,4,-2,-5,-48,,
-14,-2,40,-27,-6,5,6,32,,
-48,3,-30,-25,-7,-9,-6,-32,,
28,5,15,57,10,3,4,4,,
-2,-1,-24,22,-5,-2,7,-5,,
-1,-1,33,13,10,4,-7,-24,,
-15,3,-15,-40,-1,0,2,50,,
-9,13,83,18,8,6,4,17,,
0,-33,-126,-107,0,-1,4,12,,
-27,4,25,0,-19,0,-6,23,,
26,6,59,46,-17,-15,-5,-14,,
-23,-24,-78,-54,-8,-1,-2,-17,,
0,30,8,-79,-5,-18,-3,39,,
27,-19,-75,-5,-12,4,-12,-23,,
2,6,33,39,23,20,18,1,,
7,21,20,36,13,-4,-11,-6,,
-32,-24,15,1,-2,3,8,-44,,
20,0,18,61,6,-4,-2,101,,
-23,-1,-35,-30,-5,5,-2,-30,,
6,-6,-28,-17,-12,-7,-3,9,,
4,9,-9,-22,-4,6,-1,9,,
-82,-8,109,99,22,-3,-10,-67,,
35,12,-6,16,-10,3,6,6,,
57,-2,40,2,-10,-2,2,47,,
17,10,49,-2,-14,-6,-1,0,,
-77,-19,-128,-10,4,0,-4,-31,,
-3,-9,-30,-15,-15,-14,-10,-18,,
17,22,83,8,11,13,11,-2,,
27,-26,-89,-46,-27,-13,-9,-9,,
-12,-1,30,4,6,-9,2,14,,
79,20,-79,76,24,18,10,51,,
-12,-10,-53,-109,-22,-3,-4,-49,,
25,25,81,28,-1,-2,4,23,,
-24,-31,-59,-6,11,1,-2,-23,,
50,13,50,71,12,-1,2,14,,
4,1,-85,-30,-16,0,4,19,,
28,19,87,127,31,10,-7,-16,,
41,-9,-55,-85,-23,-7,14,27,,
-44,-2,10,57,2,-9,-13,-21,,
19,-13,7,-38,14,8,-1,-64,,
14,11,2,13,11,10,17,70,,
30,20,74,102,15,0,-3,-19,,
-47,-17,-14,-85,-15,-8,-11,-30,,
-6,17,32,8,6,0,0,14,,
-77,-41,-20,-16,-11,3,4,8,,
28,21,52,9,6,3,2,-11,,
-7,-9,-9,40,-11,-9,-3,-4,,
-8,9,2,-38,-7,-6,-1,-6,,
16,12,32,-10,-2,2,-3,4,,
16,11,3,35,10,7,4,17,,
-13,-22,4,-128,-19,-1,-2,-12,,
-1,-1,-38,127,15,-2,-3,-3,,
-8,-4,-67,0,0,-1,-5,-30,,
26,19,77,-27,-25,6,9,-5,,
-4,-12,-30,16,12,-10,-13,3,,
7,-6,-20,-91,-6,9,8,9,,
14,-4,-7,-68,-11,-17,-10,18,,
-18,-6,-22,48,14,15,12,28,,
-7,26,37,-11,1,0,1,-19,,
-12,-12,-77,7,-13,-10,-6,5,,
-13,-5,25,83,28,14,4,-4,,
67,8,-19,-63,-20,-10,0,18,,
5,-13,26,45,6,-5,0,-12,,
-17,-7,-13,-74,-6,2,4,7,,
-6,-3,-5,-63,-10,-3,-5,-18,,
29,21,78,88,22,1,2,27,,
34,-1,-36,-20,-9,7,9,8,,
-26,4,42,22,2,-6,-9,27,,
49,11,65,48,6,1,-8,-17,,
-23,-3,-51,46,1,-6,0,-1,,
5,1,-17,-115,-15,-1,0,-5,,
-53,-1,83,84,34,11,8,-14,,
-5,-15,-11,-36,-29,-10,-11,-6,,
-25,7,28,-60,-11,-8,-11,-19,,
-24,1,34,25,16,-8,-1,-16,,
95,-4,-32,45,6,12,5,51,,
9,16,-71,-72,-10,7,8,10,,
0,1,15,-3,18,2,0,-40,,
-44,-15,16,-64,-47,-15,-8,-19,,
12,5,33,36,21,2,1,-40,,
49,20,0,20,7,3,17,43,,
37,-2,-22,-117,-24,-2,-7,6,,
11,8,33,127,22,2,6,-4,,
-18,14,37,19,-1,-2,2,2,,
40,-15,-84,-97,-19,-5,-6,-29,,
-10,-18,2,50,5,-9,-14,-17,,
40,-14,9,7,-5,5,2,56,,
-2,28,35,-6,3,-2,1,20,,
-31,0,65,121,24,5,5,-11,,
6,-18,-9,-24,-13,-4,0,-39,,
-21,6,46,23,20,6,0,-18,,
-12,-10,-71,-22,-13,-10,3,27,,
-39,-17,11,52,1,2,-12,-24,,
-13,16,-12,14,14,8,-1,1,,
-7,-21,-35,-2,-5,5,-14,-18,,
-36,-5,12,81,0,-14,-3,-4,,
-23,-10,-54,-60,-20,-9,2,15,,
32,18,36,19,15,1,2,1,,
7,19,18,36,5,0,-3,-12,,
-10,-9,-55,-36,4,-3,-7,36,,
-13,-3,34,115,23,3,-1,-29,,
-30,1,-37,-86,-36,-3,0,37,,
-2,-2,-19,23,35,7,5,1,,
38,10,66,-49,-1,3,-5,-32,,
-30,-13,-54,115,11,1,8,-15,,
-15,-30,-37,-80,-31,-9,-6,-3,,
-4,26,50,-19,8,-1,4,3,,
16,-10,-48,-47,-6,5,4,5,,
-50,-3,31,-75,-24,-13,-12,-3,,
-28,2,28,42,22,8,-2,-35,,
-10,-11,-88,-102,-34,-15,-1,36,,
-48,-19,39,86,13,14,0,-35,,
68,21,27,-35,-1,0,3,-36,,
3,-2,-69,-32,0,-3,9,57,,
-53,1,76,30,11,0,-10,-25,,
38,-3,-44,-7,-10,-9,2,0,,
-14,-3,-47,-37,-3,-5,-10,41,,
-23,-9,4,73,-2,3,8,33,,
27,8,-17,-3,5,1,-3,6,,
-42,-7,-3,64,9,-2,11,9,,
9,-2,62,-14,-5,11,-3,-17,,
23,2,8,24,8,-2,1,17,,
-49,-14,-67,-9,-19,-8,-3,17,,
8,-16,-22,3,-13,-10,-14,-17,,
7,-4,-67,-60,11,5,7,-14,,
29,12,-9,61,14,-12,-7,-29,,
55,-11,-14,-83,-22,10,1,-27,,
-32,7,-5,-17,6,9,3,11,,
0,0,21,-48,-16,-17,-11,70,,
-9,7,11,8,7,2,-2,-26,,
37,-6,12,-33,-14,-7,-2,13,,
43,23,61,-36,0,0,1,-15,,
-7,-5,37,3,-4,3,-1,20,,
51,-3,-34,-27,-7,0,-1,-14,,
32,-6,-50,12,14,-7,-1,-2,,
43,23,18,-23,-13,4,-1,-5,,
11,1,13,26,1,0,-1,-25,,
9,-5,38,-7,-8,-11,-3,7,,
7,0,16,71,13,7,-10,-28,,
33,2,-22,-81,-1,-1,5,9,,
-11,1,-19,-73,-28,-6,7,-5,,
-37,0,37,27,-3,0,-2,4,,
-9,9,52,78,2,1,-7,-86,,
10,-14,2,39,11,3,3,76,,
10,4,40,40,8,-8,-4,16,,
-21,-6,7,34,10,8,-1,-8,,Training Set 1
33,14,38,46,13,7,-2,-16,,
15,-6,7,-2,7,5,6,24,,
-18,-14,69,70,-16,-6,-9,-22,,
3,-1,-69,-46,-6,1,-7,-15,,
38,-2,41,19,6,0,6,28,,
30,20,38,-8,10,-3,-2,7,,
-16,7,57,29,5,13,-2,-5,,
34,6,3,-15,-9,-5,8,9,,
-55,-6,-35,-25,6,-1,-5,-14,,
21,3,-11,-15,5,3,2,4,,
-61,-6,-32,5,3,-2,7,8,,
23,3,67,-55,-8,-4,-5,3,,
12,23,-7,104,23,8,2,-31,,
-33,-28,-68,-75,-13,-1,6,32,,
19,10,32,-48,-13,-9,1,9,,
23,-23,-65,4,-1,-2,-9,-28,,
41,-4,29,-42,-10,-2,2,13,,
51,17,-22,27,-1,7,8,-1,,
38,5,-9,-76,-4,2,26,70,,
-27,8,71,70,22,3,-3,-20,,
-35,-28,-74,9,-2,5,-1,-4,,
-26,-5,-38,27,6,-2,-15,-42,,
8,-1,32,-59,-8,3,12,7,,
10,18,74,43,5,0,0,7,,
11,-5,-50,-27,-9,-5,1,11,,
1,18,77,26,25,14,-6,-16,,
-46,-20,-52,14,-16,-3,5,-12,,
49,12,-76,-50,-10,-6,0,20,,
-41,-18,69,-30,-5,2,-3,-21,,
21,8,-79,-63,-17,-7,-8,64,,
-18,1,36,48,-6,-14,-5,2,,
22,-7,19,-22,-13,-7,-9,-17,,
14,10,59,38,-1,-3,-1,-10,,
12,-1,-50,-21,-6,-3,0,-7,,
37,20,1,-13,16,10,-8,-12,,
-17,-2,-9,22,9,0,10,25,,
18,17,43,-10,-3,-5,-3,12,,
40,-15,-25,9,0,-18,-6,-20,,
-52,-35,-91,-46,-1,10,-10,-16,,
14,19,78,11,7,12,5,-15,,
7,-4,0,87,1,1,0,2,,
12,-7,-6,-32,3,2,14,25,,
-15,-6,-80,1,10,-5,-10,-26,,
10,-12,-20,-59,-10,-1,-1,11,,
-14,-5,13,-48,-3,1,-1,35,,
1,22,84,-35,3,10,2,-9,,
37,8,-35,39,-1,-4,-4,1,,
1,17,51,20,8,3,-4,-8,,
20,3,-36,-7,-4,-3,0,-8,,
-15,-10,23,31,-6,-3,2,-1,,
-3,33,83,17,13,3,-7,-8,,
3,-34,-118,-6,-12,-5,-1,-54,,
-25,-11,39,-10,-2,-5,12,67,,
2,10,-2,43,4,1,-4,-5,,
-10,-3,10,33,-5,-8,-5,20,,
34,33,16,9,9,20,5,0,,
-37,-5,-10,69,3,-7,-8,-23,,
-3,7,6,-52,-1,8,12,37,,
-16,-8,10,82,-10,-18,-10,-21,,
-41,-1,-32,67,5,-6,-7,6,,
12,5,44,-8,-7,0,-4,-9,,
-59,-5,-19,32,-6,-5,-8,-3,,
-11,-14,14,6,10,8,9,14,,
-26,-18,-71,7,-5,-5,-9,7,,
5,0,46,-2,7,4,5,-35,,
-2,0,12,66,7,2,-4,5,,
0,-4,-12,-9,-11,-9,-5,-49,,
31,4,44,-6,8,4,11,60,,
-9,-11,-93,-23,12,7,-1,-2,,
-20,-17,-10,12,-11,-6,-23,-105,,
47,18,54,31,0,7,24,100,,
2,-6,-16,13,3,-5,-3,-18,,
-14,3,-20,-72,-22,-8,-7,-26,,
-63,-14,38,20,3,8,12,13,,
1,-19,-87,-103,-7,3,-3,-37,,
-24,11,17,-30,-10,-9,-10,-6,,
32,7,20,-1,3,1,3,-11,,
-40,0,35,-10,9,-3,-12,-3,,
49,-3,-21,-117,-31,-7,3,-2,,
18,3,25,105,22,-1,-1,32,,
-2,19,71,-63,-15,9,1,4,,
7,-10,36,69,12,1,-7,-7,,
-73,27,-18,-32,3,0,7,7,,
56,6,22,39,12,1,0,-10,,
-16,-17,-81,-74,-24,-9,-8,11,,
55,8,-26,57,-5,-12,5,58,,
19,-6,53,93,10,11,-10,-31,,
-30,0,28,-2,7,2,-2,-4,,
-22,-20,3,33,19,9,18,-3,,
0,-3,-30,-90,-12,-6,7,-12,,
-44,-2,26,21,3,-6,-12,-30,,
3,8,-1,-78,-12,-3,-2,2,,
2,-17,-44,27,9,1,-1,16,,
8,-8,-64,52,29,3,2,-4,,
-21,-3,13,55,-14,-6,0,6,,
-7,-20,-63,-27,-15,3,-3,11,,
-21,-15,-42,-45,-7,-12,-4,-20,,
45,-3,65,104,0,0,-4,-28,,
3,11,20,-1,16,-1,3,14,,
-18,-5,-10,0,-8,-6,-6,-21,,
12,-7,-3,26,0,0,-5,3,,
-18,21,42,2,-9,0,4,-3,,
-21,-16,-14,-36,-14,7,-12,-26,,
-44,-21,-1,14,-8,-3,2,-4,,
-2,25,-23,52,17,-7,-9,-22,,
-21,-14,-50,-99,-33,-7,3,38,,
24,-16,-73,37,12,-5,1,15,,
5,-8,-9,25,13,7,8,10,,
-39,-1,-2,-88,-20,-4,-3,-18,,
11,16,-2,-11,24,22,0,-9,,
33,3,47,-20,-10,-13,-5,-45,,
-12,-13,0,-5,3,0,18,67,,
12,25,-5,-24,-5,-3,-9,-15,,
30,6,-73,-53,-3,4,0,-7,,
-33,17,56,8,-3,-1,0,11,,
-41,-18,-5,-2,11,0,-6,-31,,
30,10,66,69,-4,-17,-7,-18,,
25,8,-1,-22,-4,18,17,41,,
16,-6,63,-24,1,1,-3,-12,,
12,3,1,54,4,-7,-4,-13,,
7,12,26,29,7,11,15,45,,
14,-7,20,49,10,-1,-1,-30,,
-40,-36,-112,-12,-3,-4,1,18,,
11,2,20,-118,-31,-10,-10,-4,,
8,-5,14,-13,1,3,-3,-11,,
-21,-30,-34,20,4,4,0,-7,,
31,23,20,77,16,4,2,20,,
-58,-12,2,-18,-11,-7,-21,-35,,
2,1,-59,-71,0,10,22,88,,
43,16,0,-69,-24,-16,-3,13,,
-6,-12,-78,-67,-4,3,-3,-23,,
53,8,-32,72,12,-3,-4,7,,
-7,2,105,-18,0,1,-7,-26,,
-34,5,24,57,-4,-12,-4,-1,,
75,10,-2,-29,13,19,9,25,,
4,21,34,69,17,7,18,-7,,
6,-23,-19,-65,-34,0,-4,19,,
-37,4,43,94,8,-13,-11,-42,,
7,-6,0,-6,6,4,-2,63,,
-2,10,74,9,-4,0,2,-11,,
-7,-12,-33,30,9,-2,-4,-32,,
16,-10,-27,-90,3,2,-3,-12,,
-12,4,35,82,6,-8,-2,-10,,
-2,-3,6,-107,-7,3,-1,1,,
22,13,51,85,-18,-9,-5,-14,,
4,-14,-10,-13,4,-1,-2,1,,
21,16,-53,-72,-8,4,11,6,,
-40,8,74,121,24,-3,-5,-40,,
63,-14,-87,-90,-27,-1,9,1,,
-25,12,34,26,-1,4,4,25,,
-29,4,46,89,6,-5,-4,-22,,
12,-7,7,-55,-9,4,-6,-9,,
27,8,-15,123,18,-4,-9,-12,,
-33,-6,-15,-72,-2,-1,0,-27,,
-20,-16,29,-27,-18,8,0,46,,
-24,-19,-89,38,9,4,2,-9,,
-14,33,104,88,24,-2,3,18,,
15,-33,-18,4,-11,-1,-2,9,,
-75,-1,-77,-100,-22,-14,-12,-43,,
-7,-4,-3,78,16,1,4,-10,,
-8,5,10,-66,3,11,16,47,,
-5,-3,-39,-55,-8,-5,-8,-10,,
23,-14,36,90,22,-4,-2,-14,,
9,16,14,-75,-29,-6,-2,3,,
-60,-6,-43,31,-2,-8,-14,-69,,
56,1,-11,-88,-9,2,11,55,,
37,12,14,107,16,1,-4,0,,
-48,-16,-37,-47,-22,-2,2,14,,
-14,-12,17,-10,23,5,-9,-61,,
-46,8,-14,40,1,-2,0,45,,
-1,-13,20,-57,-15,-23,0,-12,,
33,-8,-63,-44,-7,19,5,37,,
18,-12,-36,10,1,3,5,8,,
28,3,67,54,-4,-12,-22,-38,,
7,24,9,-2,7,3,6,16,,
1,-36,-106,-69,-24,-14,-7,-3,,
-1,0,51,79,11,1,-5,20,,
-48,-7,-21,-28,13,8,1,-33,,
90,9,29,-54,-17,1,-1,-31,,
9,9,76,82,5,5,12,77,,
13,2,-16,-35,18,9,0,10,,
-45,3,34,66,-12,-6,-4,-23,,
-39,-5,-27,-75,0,7,6,27,,
-24,0,24,1,11,-2,-4,-26,,
0,-5,-53,39,-5,-7,-6,-19,,
62,6,-23,32,8,-5,10,40,,
-12,6,22,-1,-14,5,-12,-20,,
17,10,50,15,6,-1,8,-24,,
-22,-18,-10,-36,-6,3,-1,21,,
39,3,51,18,6,1,0,-26,,
26,8,-4,83,15,-1,-6,15,,
-36,-2,3,-49,-2,-7,4,-18,,
23,9,-23,-20,-18,-6,-6,-8,,
-3,23,58,48,25,9,6,-1,,
-27,-18,-26,-98,-38,-14,-11,-17,,
54,13,13,34,24,13,8,36,,
13,6,11,24,6,-1,-2,6,,
10,-3,-24,-26,-14,-3,-5,-31,,
31,15,66,17,-4,-5,10,11,,
-6,-7,43,44,22,8,2,58,,Training Set 2
-6,6,5,-31,-1,4,5,18,,
0,18,55,16,2,0,1,-1,,
-11,-4,-10,-48,16,6,-4,-10,,
19,-3,13,-39,-13,12,10,6,,
-11,-25,-31,50,11,-12,-11,-15,,
35,3,-4,24,-4,0,-15,-37,,
-36,-12,-16,-57,-17,-7,15,56,,
32,-2,1,-7,-3,-2,0,26,,
63,11,-41,33,5,2,-4,2,,
36,16,-51,-91,-14,-4,4,10,,
3,-10,38,55,3,-15,-11,-46,,
-32,16,17,58,10,11,8,8,,
-2,-9,57,-16,-4,-2,-2,8,,
-18,-13,-19,28,3,-2,3,-3,,
12,8,-14,6,3,3,-4,-14,,
4,4,2,5,14,0,-3,-9,,
-9,-1,-93,-15,-7,-7,-4,-9,,
-64,-15,-63,-48,-13,6,1,-20,,
12,-2,80,119,-28,-19,1,31,,
31,11,-33,42,7,-2,-2,-2,,
8,-8,71,-27,-26,-14,-7,18,,
-51,-7,19,18,7,-2,-1,-14,,
-29,-3,-124,-37,8,5,-2,-19,,
9,1,13,-11,1,-3,-5,-12,,
-32,7,-30,-54,15,7,2,-14,,
29,-9,39,43,-7,1,1,24,,
24,7,73,-1,10,-1,-6,5,,
-14,-1,41,93,9,0,2,-6,,
-50,22,68,-67,-15,6,3,-15,,
17,-15,61,55,9,-2,1,23,,
5,9,90,-7,9,5,-8,-21,,
1,11,30,75,14,-2,15,20,,
53,-3,24,6,-23,-5,-1,22,,
32,18,5,62,23,19,10,7,,
-8,-1,28,66,9,4,-1,-20,,
2,5,47,-89,0,5,0,10,,
26,9,-44,9,-15,-7,3,3,,
-14,-9,54,-54,-3,-10,-3,24,,
28,-10,-116,29,6,3,-1,-13,,
6,-7,-44,-66,-30,-13,-7,-7,,
-3,-5,32,16,11,14,5,-2,,
26,1,-53,8,6,-7,-4,-7,,
27,-1,15,19,-7,2,3,5,,
-4,11,44,65,11,-4,-3,2,,
-26,-14,-44,-89,-16,-7,-11,-43,,
-35,-8,-32,71,19,5,3,-4,,
25,-3,3,-23,-6,1,-5,23,,
16,15,-13,11,-10,-6,10,14,,
-38,-2,35,-19,17,12,4,-6,,
-94,-55,-68,-70,-42,-24,-14,-40,,
27,38,42,76,2,0,-5,-14,,
-9,-13,12,-109,-13,4,-7,-11,,
-10,0,-52,117,8,1,6,5,,
3,17,40,-107,2,6,3,9,,
-5,-24,-92,-40,-7,-11,3,-20,,
-7,-18,-27,-35,-29,0,-7,9,,
46,9,-46,13,11,-7,-2,-3,,
39,11,46,20,15,0,-3,22,,
-31,7,120,-3,3,0,5,-7,,
0,-10,-73,-26,-7,1,-2,1,,
14,13,4,-24,7,3,-7,0,,
19,-6,-33,-66,-21,-2,7,0,,
10,1,-3,12,9,0,-4,-8,,
-2,-21,-79,44,12,-1,-2,12,,
-85,-15,48,70,12,3,0,-12,,
